Resumption	NN	resumption
of	IN	of
the	DT	the
session	NN	session
The	DT	the
sitting	NN	sitting
opened	VBD	open
at	IN	at
17.05	CD	@card@
.	SENT	.
Approval	NN	approval
of	IN	of
the	DT	the
minutes	NNS	minute
of	IN	of
the	DT	the
previous	JJ	previous
sitting	VBG	sit
The	DT	the
minutes	NNS	minute
of	IN	of
the	DT	the
previous	JJ	previous
sitting	NN	sitting
were	VBD	be
approved	VBN	approve
.	SENT	.
Statements	NNS	statement
by	IN	by
the	DT	the
President	NP	President
The	NP	The
President	NP	President
welcomed	VBD	welcome
the	DT	the
adoption	NN	adoption
of	IN	of
the	DT	the
euro	NN	<unknown>
by	IN	by
Latvia	NP	Latvia
on	IN	on
1	CD	1
January	NP	January
2014	CD	@card@
.	SENT	.
The	DT	the
President	NP	President
spoke	VBD	speak
of	IN	of
the	DT	the
numerous	JJ	numerous
storms	NNS	storm
in	IN	in
Europe	NP	Europe
in	IN	in
recent	JJ	recent
weeks	NNS	week
and	CC	and
said	VBD	say
there	EX	there
would	MD	would
be	VB	be
a	DT	a
debate	NN	debate
on	IN	on
the	DT	the
subject	NN	subject
during	IN	during
one	CD	one
of	IN	of
the	DT	the
February	NP	February
part-sessions	NNS	<unknown>
.	SENT	.
He	PP	he
expressed	VBD	express
Parliament	NP	Parliament
's	POS	's
solidarity	NN	solidarity
with	IN	with
the	DT	the
victims	NNS	victim
of	IN	of
the	DT	the
storms	NNS	storm
.	SENT	.
The	DT	the
President	NP	President
spoke	VBD	speak
of	IN	of
the	DT	the
UN	NP	UN
conference	NN	conference
on	IN	on
the	DT	the
future	NN	future
of	IN	of
Syria	NP	Syria
would	MD	would
open	VB	open
in	IN	in
Geneva	NP	Geneva
on	IN	on
22	CD	@card@
January	NP	January
2014	CD	@card@
.	SENT	.
He	PP	he
stressed	VBD	stress
the	DT	the
importance	NN	importance
of	IN	of
this	DT	this
conference	NN	conference
.	SENT	.
The	DT	the
President	NP	President
commented	VBD	comment
on	IN	on
press	NN	press
reports	NNS	report
of	IN	of
accusations	NNS	accusation
made	VBN	make
by	IN	by
the	DT	the
Romanian	JJ	Romanian
Prime	NP	Prime
Minister	NP	Minister
,	,	,
Victor	NP	Victor
Ponta	NP	Ponta
,	,	,
against	IN	against
Elmar	NP	Elmar
Brok	NP	Brok
.	SENT	.
He	PP	he
said	VBD	say
that	IN	that
,	,	,
if	IN	if
these	DT	these
accusations	NNS	accusation
had	VBD	have
indeed	RB	indeed
been	VBN	be
made	VBN	make
,	,	,
they	PP	they
were	VBD	be
deplorable	JJ	deplorable
.	SENT	.
Calendar	NN	calendar
of	IN	of
European	JJ	European
Parliament	NP	Parliament
part-sessions	NNS	<unknown>
-	:	-
2015	CD	@card@
At	IN	at
its	PP$	its
meeting	NN	meeting
of	IN	of
12	CD	@card@
December	NP	December
2013	CD	@card@
the	DT	the
Conference	NN	conference
of	IN	of
Presidents	NNS	president
had	VBD	have
adopted	VBN	adopt
the	DT	the
following	VBG	follow
draft	NN	draft
calendar	NN	calendar
of	IN	of
part-sessions	NNS	<unknown>
for	IN	for
the	DT	the
parliamentary	JJ	parliamentary
year	NN	year
2015	CD	@card@
:	:	:
The	DT	the
deadline	NN	deadline
for	IN	for
tabling	VBG	table
amendments	NNS	amendment
was	VBD	be
set	VBN	set
for	IN	for
Tuesday	NP	Tuesday
14	CD	@card@
January	NP	January
2014	CD	@card@
at	IN	at
12	CD	@card@
noon	NN	noon
.	SENT	.
The	DT	the
vote	NN	vote
would	MD	would
be	VB	be
held	VBN	hold
on	IN	on
Wednesday	NP	Wednesday
15	CD	@card@
January	NP	January
2014	CD	@card@
at	IN	at
12	CD	@card@
noon	NN	noon
.	SENT	.
Composition	NN	composition
of	IN	of
Parliament	NP	Parliament
The	DT	the
Danish	JJ	Danish
authorities	NNS	authority
had	VBD	have
given	VBN	give
notice	NN	notice
of	IN	of
the	DT	the
election	NN	election
of	IN	of
Claus	NP	Claus
Larsen-Jensen	NP	<unknown>
to	TO	to
replace	VB	replace
Dan	NP	Dan
Jørgensen	NP	<unknown>
as	IN	as
Member	NP	Member
of	IN	of
Parliament	NP	Parliament
with	IN	with
effect	NN	effect
from	IN	from
13	CD	@card@
December	NP	December
2013	CD	@card@
.	SENT	.
The	DT	the
Polish	JJ	Polish
authorities	NNS	authority
responsible	JJ	responsible
had	VBD	have
given	VBN	give
notice	NN	notice
of	IN	of
the	DT	the
election	NN	election
of	IN	of
Zbigniew	NP	Zbigniew
Zaleski	NP	Zaleski
and	CC	and
Tadeusz	NP	Tadeusz
Edward	NP	Edward
Ross	NP	Ross
to	TO	to
replace	VB	replace
Lena	NP	Lena
Kolarska-Bobińska	NP	<unknown>
and	CC	and
Rafał	NP	<unknown>
Trzaskowski	NP	<unknown>
with	IN	with
effect	NN	effect
from	IN	from
17	CD	@card@
December	NP	December
2013	CD	@card@
.	SENT	.
In	IN	in
accordance	NN	accordance
with	IN	with
Article	NP	Article
7(1	NP	<unknown>
)	)	)
of	IN	of
the	DT	the
Act	NP	Act
concerning	VBG	concern
the	DT	the
election	NN	election
of	IN	of
the	DT	the
members	NNS	member
of	IN	of
the	DT	the
European	NP	European
Parliament	NP	Parliament
by	IN	by
direct	JJ	direct
universal	JJ	universal
suffrage	NN	suffrage
and	CC	and
Rule	NN	rule
4(1	JJ	<unknown>
)	)	)
and	CC	and
(	(	(
4	LS	4
)	)	)
,	,	,
Parliament	NP	Parliament
took	VBD	take
note	NN	note
of	IN	of
the	DT	the
election	NN	election
of	IN	of
Claus	NP	Claus
Larsen-Jensen	NP	<unknown>
with	IN	with
effect	NN	effect
from	IN	from
13	CD	@card@
December	NP	December
2013	CD	@card@
,	,	,
and	CC	and
of	IN	of
Zbigniew	NP	Zbigniew
Zaleski	NP	Zaleski
and	CC	and
Tadeusz	NP	Tadeusz
Edward	NP	Edward
Ross	NP	Ross
with	IN	with
effect	NN	effect
from	IN	from
17	CD	@card@
December	NP	December
2013	CD	@card@
.	SENT	.
Under	IN	under
Rule	NN	rule
3(2	JJ	<unknown>
)	)	)
,	,	,
until	IN	until
such	JJ	such
time	NN	time
as	IN	as
their	PP$	their
credentials	NNS	credential
had	VBD	have
been	VBN	be
verified	VBN	verify
or	CC	or
a	DT	a
ruling	NN	ruling
